text,label,label_id,split
"W domu naprawdę to było nieoczekiwane, gdy zobaczyłam prezent, dlatego to całkowicie zmienia sytuację. Zostało to ze mną na długo.",surprise,5,train
W pracy po tym wszystkim mam dość przez niekompetencję zespołu i zaraz wybuchnę.,anger,0,test
W domu strasznie jestem zachwycony po udanym projekcie. Dzisiaj świat wygląda lepiej.,joy,3,test
Na uczelni w tej sytuacji naprawdę czuję złość przez niekompetencję zespołu; czuję napięcie w całym ciele. To siedzi we mnie od kilku godzin.,anger,0,val
Wieczorem ostatnio gotuję się w środku przez tę absurdalną decyzję i zaraz wybuchnę. Zostało to ze mną na długo.,anger,0,test
W domu ja jestem zaskoczony po wynikach egzaminu i aż zaniemówiłem.,surprise,5,train
Wieczorem w tej sytuacji jestem zdumiona po reakcji prowadzącego i aż zaniemówiłem.,surprise,5,train
W pracy bardzo czuję złość po niesprawiedliwej ocenie. To jest po prostu nie do przyjęcia.,anger,0,train
"Na uczelni po tym wszystkim wyjątkowo jestem zniesmaczona gdy widzę robaki w piwnicy, a przez to to jest odpychające. To siedzi we mnie od kilku godzin.",disgust,1,train
Na uczelni mam odruch cofania gdy ktoś mlaska przy stole. Mam ciarki na plecach.,disgust,1,train
"Po południu bardzo czuję strach, przed rozmową kwalifikacyjną, dlatego nie mogę się rozluźnić.",fear,2,val
"Od rana dziś naprawdę jestem zaskoczona po wynikach egzaminu, bo aż zaniemówiłem.",surprise,5,train
Wieczorem dziś jestem przygnębiony po kłótni z bliską osobą i chciałbym tylko odpocząć. Trudno mi to zignorować.,sadness,4,val
Od rana czuję smutek po kłótni z bliską osobą. Jest mi ciężko ruszyć dalej. Nie mogę przestać o tym myśleć.,sadness,4,train
"Dziś po tym wszystkim naprawdę to było nieoczekiwane po nagłym telefonie, a przez to muszę to przemyśleć.",surprise,5,train
"Teraz szczerze wyjątkowo jestem zdumiony po tym, co dziś usłyszałem; wciąż próbuję to zrozumieć. Ta sytuacja nadal we mnie pracuje.",surprise,5,train
"Na uczelni ostatnio bardzo jestem spięty przed ważną rozmową, a przez to trudno mi oddychać spokojnie.",fear,2,train
"Po południu w tej sytuacji boję się gdy myślę o przyszłości i czuję, że coś złego może się stać. To mocno wpływa na mój nastrój.",fear,2,train
"Teraz czuję strach przed jutrzejszym egzaminem, a przez to ciągle myślę o najgorszym. Trudno mi to zignorować.",fear,2,train
Od rana trochę jestem zniesmaczona po wejściu do brudnej łazienki. Muszę odwrócić wzrok.,disgust,1,train
"Szczerze mówiąc bardzo mam obniżony nastrój, po stracie ważnej okazji, dlatego chciałbym tylko odpocząć.",sadness,4,train
"W pracy bardzo ale niespodzianka po tym, co dziś usłyszałam. Tego się nie spodziewałem. Nosi mnie po tej sytuacji.",surprise,5,train
Szczerze mówiąc naprawdę jestem zdumiony gdy zobaczyłam prezent. Muszę to przemyśleć.,surprise,5,test
"Na uczelni po tym wszystkim naprawdę to mnie obrzydza na widok spleśniałego chleba, gdy mam ciarki na plecach. Ta sytuacja nadal we mnie pracuje.",disgust,1,train
"Od rana ostatnio naprawdę ogarnia mnie niepokój przed ważną rozmową, bo serce bije mi szybciej.",fear,2,train
W domu naprawdę czuję smutek po nieudanym egzaminie. Nie mam na nic siły. Nosi mnie po tej sytuacji.,sadness,4,test
"Dziś jest mi lekko po spacerze nad rzeką, a przez to czuję wdzięczność i spokój.",joy,3,train
"W pracy szczerze autentycznie jestem zniesmaczony na widok zepsutego jedzenia, bo sam zapach mnie odrzuca.",disgust,1,val
"Po południu ale niespodzianka po wynikach egzaminu, a przez to wciąż próbuję to zrozumieć. Ta sytuacja nadal we mnie pracuje.",surprise,5,train
"W pracy trochę jestem spięty, kiedy nie mam kontroli nad tym, co się dzieje, dlatego czuję, że coś złego może się stać.",fear,2,train
W pracy dziś wyjątkowo mam obniżony nastrój gdy nikt nie odpisuje; trudno mi się skupić. To mocno wpływa na mój nastrój.,sadness,4,train
"Na uczelni autentycznie jest mi niedobrze, po przeczytaniu tych obrzydliwych komentarzy, dlatego mam ciarki na plecach.",disgust,1,train
Dziś po tym wszystkim wyjątkowo mam ciężkie serce po złej wiadomości; chciałbym tylko odpocząć.,sadness,4,train
"Na uczelni po tym wszystkim bardzo mam odruch cofania na widok zepsutego jedzenia, bo sam zapach mnie odrzuca.",disgust,1,val
Wieczorem po tym wszystkim bardzo czuję wstręt gdy widzę robaki w piwnicy; chcę natychmiast wyjść. To mocno wpływa na mój nastrój.,disgust,1,train
Dziś dziś bardzo mam silny niesmak kiedy czuję ten zapach; to jest odpychające.,disgust,1,train
"Teraz autentycznie mam silny niesmak, na widok zepsutego jedzenia, dlatego nie mogę na to patrzeć.",disgust,1,train
"Teraz jestem zachwycona kiedy wszystko dziś działa, a przez to to był piękny dzień.",joy,3,train
"W domu trochę jestem zdumiona po tym, co dziś usłyszałem. Wciąż próbuję to zrozumieć. To mocno wpływa na mój nastrój.",surprise,5,val
"Szczerze mówiąc ja coraz bardziej mam dość przez ten bałagan, i nie mogę tego spokojnie słuchać.",anger,0,train
W domu dziś wyjątkowo jestem przerażona przed odrzuceniem; ciągle myślę o najgorszym.,fear,2,train
"Szczerze mówiąc dziś strasznie mam odruch cofania gdy widzę robaki w piwnicy, i to jest odpychające. To siedzi we mnie od kilku godzin.",disgust,1,train
"Teraz to było nieoczekiwane po tym, co dziś usłyszałem. To całkowicie zmienia sytuację.",surprise,5,train
"Teraz jestem wściekły kiedy ktoś narusza moje granice, a przez to mam ochotę powiedzieć kilka mocnych słów.",anger,0,train
Po południu ostatnio bardzo mam lęk przed jutrzejszym egzaminem; trudno mi oddychać spokojnie.,fear,2,train
"Szczerze mówiąc w tej sytuacji bardzo to było nieoczekiwane po tej propozycji, ponieważ mam szeroko otwarte oczy.",surprise,5,train
"Od rana naprawdę jestem zaskoczony, po tym, co dziś usłyszałam, dlatego mam szeroko otwarte oczy.",surprise,5,train
"Po południu niesamowicie jestem zirytowana, przez niekompetencję zespołu, dlatego zaraz wybuchnę. Nosi mnie po tej sytuacji.",anger,0,test
"W pracy to mnie obrzydza na myśl o tym zachowaniu, a przez to sam zapach mnie odrzuca. Wciąż do tego wracam myślami.",disgust,1,train
"Teraz czuję smutek po odrzuceniu mojego projektu, a przez to chciałbym tylko odpocząć.",sadness,4,train
"W tej chwili autentycznie cieszę się, po sukcesie w pracy, dlatego wszystko wydaje się prostsze. To było dziś dla mnie bardzo wyraźne.",joy,3,val
W domu ja czuję strach przed rozmową kwalifikacyjną i mam napięte mięśnie. Zostało to ze mną na długo.,fear,2,train
"Dziś kompletnie jestem zaskoczona, po reakcji prowadzącego, dlatego mam szeroko otwarte oczy.",surprise,5,val
Po południu strasznie mam ciężkie serce po trudnym dniu na uczelni. Mam ochotę zniknąć na chwilę. Ta sytuacja nadal we mnie pracuje.,sadness,4,train
Na uczelni po tym wszystkim trochę jest mi lekko po udanym projekcie; aż chce się żyć. Trudno mi to zignorować.,joy,3,val
"W tej chwili jest mi bardzo ciężko gdy nikt nie odpisuje, a przez to ten dzień mnie przytłacza.",sadness,4,train
"Na uczelni mam lęk przed jutrzejszym egzaminem, a przez to nie mogę się rozluźnić. Trudno mi to zignorować.",fear,2,test
"Teraz ja naprawdę mam silny niesmak gdy ktoś mlaska przy stole, a przez to muszę odwrócić wzrok.",disgust,1,train
"Dziś szczerze trochę ale niespodzianka po tym, co dziś usłyszałem; muszę to przemyśleć. To było dziś dla mnie bardzo wyraźne.",surprise,5,train
Wieczorem ja wyjątkowo jestem zniesmaczony na widok spleśniałego chleba; to jest odpychające. Trudno mi to zignorować.,disgust,1,train
Szczerze mówiąc szczerze jestem zachwycona po rozmowie z przyjacielem; aż chce się żyć. Wciąż do tego wracam myślami.,joy,3,train
Po południu czuję radość kiedy świeci słońce. Wszystko wydaje się prostsze. To mocno wpływa na mój nastrój.,joy,3,train
Na uczelni ja trochę jestem wściekły po bezsensownej uwadze; nie mogę tego spokojnie słuchać.,anger,0,train
Po południu po tym wszystkim boję się gdy myślę o przyszłości i nie mogę się rozluźnić. To siedzi we mnie od kilku godzin.,fear,2,train
W domu wyjątkowo aż mnie trzęsie po niesprawiedliwej ocenie. Zaraz wybuchnę.,anger,0,test
Od rana dziś mam lęk przed jutrzejszym egzaminem i trudno mi oddychać spokojnie. To było dziś dla mnie bardzo wyraźne.,fear,2,train
W domu naprawdę jestem zdumiony po nagłym telefonie. Mam szeroko otwarte oczy. To siedzi we mnie od kilku godzin.,surprise,5,train
"W tej chwili jestem przerażona przed rozmową kwalifikacyjną, a przez to nie mogę się rozluźnić. Trudno mi to zignorować.",fear,2,train
W domu ostatnio naprawdę jestem spięta gdy myślę o przyszłości; nie mogę się rozluźnić. To mocno wpływa na mój nastrój.,fear,2,train
W domu ja jestem przygnębiona po nieudanym egzaminie i trudno mi się skupić.,sadness,4,train
W tej chwili dziś jestem przygnębiony kiedy wszystko się sypie; trudno mi się skupić.,sadness,4,val
"Dziś jest mi bardzo ciężko po złej wiadomości, a przez to wszystko wydaje się szare.",sadness,4,train
Od rana szczerze bardzo jestem spięty gdy słyszę dziwne dźwięki w nocy; nie mogę się rozluźnić. Ta sytuacja nadal we mnie pracuje.,fear,2,test
Dziś w tej sytuacji czuję złość przez niekompetencję zespołu i tracę cierpliwość. Nosi mnie po tej sytuacji.,anger,0,train
"W domu ja autentycznie jestem zniesmaczona kiedy czuję ten zapach, i chcę natychmiast wyjść.",disgust,1,train
"Szczerze mówiąc jestem zaskoczona po wynikach egzaminu, a przez to to całkowicie zmienia sytuację.",surprise,5,train
"W domu czuję radość po rozmowie z przyjacielem, a przez to mam ochotę świętować.",joy,3,train
Po południu ja ogarnia mnie niepokój na myśl o tej sytuacji i nie umiem przestać się martwić. Zostało to ze mną na długo.,fear,2,train
"W pracy wyraźnie boję się, przed odrzuceniem, dlatego serce bije mi szybciej. Nosi mnie po tej sytuacji.",fear,2,train
"Wieczorem dziś naprawdę jestem zniesmaczona na myśl o tym zachowaniu, ponieważ aż odechciewa mi się jeść. Nie mogę przestać o tym myśleć.",disgust,1,val
"W domu strasznie jestem zniesmaczony, gdy ktoś mlaska przy stole, dlatego to jest odpychające. To było dziś dla mnie bardzo wyraźne.",disgust,1,train
"W domu autentycznie jestem zdumiona, gdy zobaczyłam prezent, dlatego to wywróciło mój plan dnia.",surprise,5,test
Od rana strasznie uśmiecham się po rozmowie z przyjacielem. To był piękny dzień.,joy,3,test
Na uczelni naprawdę czuję wstręt gdy widzę robaki w piwnicy. Muszę odwrócić wzrok.,disgust,1,train
"Dziś wyjątkowo czuję smutek, po rozstaniu, dlatego trudno mi się skupić. Zostało to ze mną na długo.",sadness,4,train
"Od rana naprawdę mam ciężkie serce, gdy pada deszcz i siedzę sam, dlatego nie widzę dziś nic dobrego.",sadness,4,val
"W tej chwili bardzo ogarnia mnie niepokój, przed ważną rozmową, dlatego trudno mi oddychać spokojnie. Ta sytuacja nadal we mnie pracuje.",fear,2,train
Po południu naprawdę jest mi smutno po złej wiadomości. Nie mam na nic siły.,sadness,4,train
"Na uczelni bardzo cieszę się, gdy dostałem dobrą wiadomość, dlatego dzisiaj świat wygląda lepiej.",joy,3,train
"Wieczorem wyjątkowo ogarnia mnie niepokój przed wystąpieniem publicznym. Czuję, że coś złego może się stać. Trudno mi to zignorować.",fear,2,train
Od rana bardzo jestem zniesmaczony kiedy czuję ten zapach. Mam ciarki na plecach. Zostało to ze mną na długo.,disgust,1,val
W pracy po tym wszystkim boję się gdy słyszę dziwne dźwięki w nocy; nie umiem przestać się martwić.,fear,2,train
Na uczelni w tej sytuacji jestem zachwycony po udanym projekcie i czuję wdzięczność i spokój. To było dziś dla mnie bardzo wyraźne.,joy,3,train
"Dziś po tym wszystkim trochę jestem spięty kiedy nie mam kontroli nad tym, co się dzieje; mam napięte mięśnie.",fear,2,test
"Od rana szczerze niesamowicie jestem zły kiedy ktoś narusza moje granice, a przez to mam ochotę powiedzieć kilka mocnych słów. To siedzi we mnie od kilku godzin.",anger,0,train
"Wieczorem wyjątkowo czuję smutek, po kłótni z bliską osobą, dlatego nie mam na nic siły.",sadness,4,train
W domu w tej sytuacji to było nieoczekiwane po tej wiadomości i to wywróciło mój plan dnia.,surprise,5,test
"Szczerze mówiąc ostatnio boję się przed rozmową kwalifikacyjną i czuję, że coś złego może się stać. Zostało to ze mną na długo.",fear,2,test
W pracy po tym wszystkim wyjątkowo jestem przerażona przed jutrzejszym egzaminem; serce bije mi szybciej. Ta sytuacja nadal we mnie pracuje.,fear,2,train
"Teraz czuję złość kiedy ktoś narusza moje granice, a przez to to przekracza wszelkie granice.",anger,0,train
Szczerze mówiąc naprawdę ogarnia mnie niepokój gdy myślę o przyszłości. Nie umiem przestać się martwić. To mocno wpływa na mój nastrój.,fear,2,train
Teraz po tym wszystkim trochę gotuję się w środku po niesprawiedliwej ocenie; nie mogę tego spokojnie słuchać. Trudno mi to zignorować.,anger,0,train
Szczerze mówiąc ja bardzo jest mi bardzo ciężko po odrzuceniu mojego projektu; nie widzę dziś nic dobrego. Trudno mi to zignorować.,sadness,4,train
W domu w tej sytuacji czuję złość przez tę absurdalną decyzję i mam ochotę powiedzieć kilka mocnych słów.,anger,0,val
"Wieczorem po tym wszystkim naprawdę jest mi bardzo ciężko po złej wiadomości, a przez to chciałbym tylko odpocząć.",sadness,4,train
W pracy ja wyjątkowo czuję pustkę po stracie ważnej okazji; nie widzę dziś nic dobrego.,sadness,4,val
Od rana trochę jestem wściekła przez niekompetencję zespołu. Nie mogę tego spokojnie słuchać.,anger,0,train
W tej chwili strasznie jestem zirytowana gdy ktoś mnie ignoruje. Nie mogę tego spokojnie słuchać. Ta sytuacja nadal we mnie pracuje.,anger,0,train
Po południu ja trochę jestem zachwycony po rozmowie z przyjacielem; mam energię do działania. Zostało to ze mną na długo.,joy,3,train
"W pracy bardzo aż mnie trzęsie, po bezsensownej uwadze, dlatego to przekracza wszelkie granice. To było dziś dla mnie bardzo wyraźne.",anger,0,test
"Od rana czuję pustkę po nieudanym egzaminie, a przez to chciałbym tylko odpocząć. Trudno mi to zignorować.",sadness,4,train
"W tej chwili ostatnio coraz bardziej jestem spięty przed odrzuceniem, ponieważ ciągle myślę o najgorszym. Ta sytuacja nadal we mnie pracuje.",fear,2,test
"Teraz niesamowicie mam silny niesmak, kiedy czuję ten zapach, dlatego sam zapach mnie odrzuca. Nie mogę przestać o tym myśleć.",disgust,1,val
"Wieczorem naprawdę jestem zirytowany, po niesprawiedliwej ocenie, dlatego tracę cierpliwość. To było dziś dla mnie bardzo wyraźne.",anger,0,train
"Teraz po tym wszystkim bardzo jestem spięty przed odrzuceniem, kiedy ciągle myślę o najgorszym. Ta sytuacja nadal we mnie pracuje.",fear,2,train
"Dziś jestem przygnębiony po rozstaniu, a przez to chciałbym tylko odpocząć.",sadness,4,test
"W pracy dziś naprawdę jestem przerażony przed ważną rozmową, ponieważ trudno mi oddychać spokojnie. To było dziś dla mnie bardzo wyraźne.",fear,2,train
Teraz bardzo boję się przed odrzuceniem. Mam napięte mięśnie. Nosi mnie po tej sytuacji.,fear,2,train
"W tej chwili szczerze coraz bardziej jestem wściekły przez tę absurdalną decyzję, kiedy zaraz wybuchnę.",anger,0,test
"Szczerze mówiąc czuję smutek po kłótni z bliską osobą, a przez to mam ochotę zniknąć na chwilę. To było dziś dla mnie bardzo wyraźne.",sadness,4,train
"W pracy to mnie obrzydza gdy ktoś mlaska przy stole, a przez to nie mogę na to patrzeć.",disgust,1,train
"W tej chwili jestem zaskoczona kiedy drzwi nagle się otworzyły, a przez to to całkowicie zmienia sytuację. Nosi mnie po tej sytuacji.",surprise,5,val
Na uczelni strasznie jestem zdumiony kiedy drzwi nagle się otworzyły. Muszę to przemyśleć.,surprise,5,train
"Szczerze mówiąc mam odruch cofania gdy widzę robaki w piwnicy, a przez to mam ciarki na plecach.",disgust,1,test
W tej chwili strasznie jestem zniesmaczony po zobaczeniu brudu w kuchni. Aż odechciewa mi się jeść. Wciąż do tego wracam myślami.,disgust,1,test
Wieczorem ja wyjątkowo jestem szczęśliwy gdy dostałam dobrą wiadomość; dzisiaj świat wygląda lepiej. To siedzi we mnie od kilku godzin.,joy,3,train
"Od rana autentycznie uśmiecham się, kiedy świeci słońce, dlatego mam ochotę świętować. To było dziś dla mnie bardzo wyraźne.",joy,3,val
Dziś strasznie mam dość po bezsensownej uwadze. To jest po prostu nie do przyjęcia. Trudno mi to zignorować.,anger,0,train
"Od rana po tym wszystkim kompletnie jestem zaskoczona po nagłym telefonie, bo to całkowicie zmienia sytuację.",surprise,5,test
"Po południu wyjątkowo czuję wstręt, po wejściu do brudnej łazienki, dlatego mam ciarki na plecach. Trudno mi to zignorować.",disgust,1,train
W domu po tym wszystkim jestem zdumiona po wynikach egzaminu i wciąż próbuję to zrozumieć.,surprise,5,train
"W tej chwili naprawdę jestem zły, gdy ktoś zrzuca na mnie winę, dlatego to przekracza wszelkie granice. Mam to w głowie przez cały dzień.",anger,0,train
"Na uczelni ostatnio naprawdę uśmiecham się kiedy świeci słońce, bo mam ochotę świętować.",joy,3,test
W domu po tym wszystkim jest mi bardzo ciężko gdy nikt nie odpisuje; mam ochotę zniknąć na chwilę.,sadness,4,train
"W tej chwili w tej sytuacji autentycznie mam świetny nastrój po sukcesie w pracy, gdy mam ochotę świętować.",joy,3,val
Teraz szczerze trochę mam świetny nastrój gdy dostałem dobrą wiadomość; mam ochotę świętować. Mam to w głowie przez cały dzień.,joy,3,train
W pracy wyjątkowo jestem zaskoczona kiedy drzwi nagle się otworzyły. Muszę to przemyśleć.,surprise,5,train
"Szczerze mówiąc ogarnia mnie niepokój przed wystąpieniem publicznym, a przez to serce bije mi szybciej.",fear,2,train
"Po południu ja wyjątkowo jestem zirytowany po kolejnym spóźnieniu prowadzącego, bo mam ochotę powiedzieć kilka mocnych słów. To siedzi we mnie od kilku godzin.",anger,0,train
W pracy naprawdę jestem przygnębiony kiedy wszystko się sypie. Wszystko wydaje się szare. Zostało to ze mną na długo.,sadness,4,train
"Na uczelni mam lęk przed ważną rozmową, a przez to nie umiem przestać się martwić, wciąż do tego wracam myślami.",fear,2,train
"Na uczelni dziś wyjątkowo aż mnie trzęsie gdy ktoś zrzuca na mnie winę, i to przekracza wszelkie granice.",anger,0,train
"Na uczelni mam ciężkie serce kiedy wszystko się sypie, a przez to jest mi ciężko ruszyć dalej. Zostało to ze mną na długo.",sadness,4,train
"W domu ogarnia mnie niepokój przed wystąpieniem publicznym, a przez to nie mogę się rozluźnić. To było dziś dla mnie bardzo wyraźne.",fear,2,train
Teraz w tej sytuacji jestem wściekła gdy ktoś mnie ignoruje i to przekracza wszelkie granice. Zostało to ze mną na długo.,anger,0,train
Po południu ja nie mogę uwierzyć po reakcji prowadzącego i mam szeroko otwarte oczy.,surprise,5,train
W domu ja jest mi smutno po złej wiadomości i nie mam na nic siły.,sadness,4,test
Teraz w tej sytuacji czuję złość po kolejnym spóźnieniu prowadzącego i czuję napięcie w całym ciele. Zostało to ze mną na długo.,anger,0,test
"W domu czuję pustkę po odrzuceniu mojego projektu, a przez to ten dzień mnie przytłacza. Trudno mi to zignorować.",sadness,4,test
Na uczelni ostatnio czuję wstręt po zobaczeniu brudu w kuchni i nie mogę na to patrzeć.,disgust,1,train
"Wieczorem dziś niesamowicie jestem zachwycona po komplementach od bliskich, kiedy aż chce się żyć. Nosi mnie po tej sytuacji.",joy,3,train
"Szczerze mówiąc jest mi bardzo ciężko gdy czuję się samotnie, a przez to ten dzień mnie przytłacza. Wciąż do tego wracam myślami.",sadness,4,train
Teraz w tej sytuacji jestem przygnębiony kiedy wszystko się sypie i ten dzień mnie przytłacza.,sadness,4,train
Wieczorem wyjątkowo uśmiecham się gdy dostałam dobrą wiadomość. Wszystko wydaje się prostsze.,joy,3,train
Szczerze mówiąc w tej sytuacji trochę to mnie obrzydza kiedy czuję ten zapach; to jest odpychające.,disgust,1,train
Po południu szczerze wyjątkowo jestem przerażona przed rozmową kwalifikacyjną; nie umiem przestać się martwić.,fear,2,train
Na uczelni dziś jestem zachwycony po rozmowie z przyjacielem i aż chce się żyć.,joy,3,val
"W domu mam ciężkie serce po stracie ważnej okazji, a przez to trudno mi się skupić. Trudno mi to zignorować.",sadness,4,test
"Po południu jest mi smutno po rozstaniu, a przez to nie mam na nic siły. Trudno mi to zignorować.",sadness,4,train
"Na uczelni ja jestem zaskoczona po tym, co dziś usłyszałam i muszę to przemyśleć. To było dziś dla mnie bardzo wyraźne.",surprise,5,train
Teraz ostatnio jestem zdumiona gdy zobaczyłam prezent i to wywróciło mój plan dnia. Nosi mnie po tej sytuacji.,surprise,5,val
W pracy ja jestem zniesmaczony po zobaczeniu brudu w kuchni i chcę natychmiast wyjść. To było dziś dla mnie bardzo wyraźne.,disgust,1,train
"Szczerze mówiąc po tym wszystkim naprawdę gotuję się w środku po kolejnym spóźnieniu prowadzącego, bo nie mogę tego spokojnie słuchać. Ta sytuacja nadal we mnie pracuje.",anger,0,train
"Szczerze mówiąc kompletnie ale niespodzianka, po nagłym telefonie, dlatego tego się nie spodziewałem. Trudno mi to zignorować.",surprise,5,train
Na uczelni w tej sytuacji naprawdę aż mnie trzęsie gdy ktoś mnie ignoruje; to jest po prostu nie do przyjęcia.,anger,0,train
"Dziś kompletnie jestem zdumiona, po wynikach egzaminu, dlatego to wywróciło mój plan dnia.",surprise,5,train
"Teraz ja niesamowicie mam odruch cofania na widok zepsutego jedzenia, a przez to nie mogę na to patrzeć. To mocno wpływa na mój nastrój.",disgust,1,train
"Teraz strasznie nie mogę uwierzyć po tym, co dziś usłyszałam. Aż zaniemówiłem.",surprise,5,train
"Po południu po tym wszystkim niesamowicie jestem zachwycona gdy dostałem dobrą wiadomość, kiedy mam energię do działania.",joy,3,val
"Wieczorem coraz bardziej czuję strach, przed jutrzejszym egzaminem, dlatego nie umiem przestać się martwić. To siedzi we mnie od kilku godzin.",fear,2,train
"Wieczorem ja coraz bardziej jestem zirytowana przez ten bałagan, ponieważ nie mogę tego spokojnie słuchać. To mocno wpływa na mój nastrój.",anger,0,train
Od rana trochę jestem zachwycona po komplementach od bliskich. Mam ochotę świętować. To mocno wpływa na mój nastrój.,joy,3,val
Na uczelni szczerze jestem spięty gdy słyszę dziwne dźwięki w nocy i nie umiem przestać się martwić.,fear,2,train
"Wieczorem czuję pustkę gdy pada deszcz i siedzę sam, a przez to chciałbym tylko odpocząć.",sadness,4,test
W pracy w tej sytuacji jestem wściekła gdy ktoś mnie ignoruje i to przekracza wszelkie granice. Trudno mi to zignorować.,anger,0,train
W domu ja jestem wściekła gdy ktoś zrzuca na mnie winę i zaraz wybuchnę. Nosi mnie po tej sytuacji.,anger,0,train
Na uczelni dziś jestem zniesmaczony gdy ktoś mlaska przy stole i aż odechciewa mi się jeść.,disgust,1,train
W domu trochę cieszę się po spacerze nad rzeką. Wszystko wydaje się prostsze. To było dziś dla mnie bardzo wyraźne.,joy,3,train
"Od rana dziś bardzo ogarnia mnie niepokój przed odrzuceniem; czuję, że coś złego może się stać. Nie mogę przestać o tym myśleć.",fear,2,train
"W tej chwili bardzo jestem zachwycona, gdy dostałem dobrą wiadomość, dlatego mam energię do działania.",joy,3,train
Wieczorem mam ciężkie serce po rozstaniu. Ten dzień mnie przytłacza.,sadness,4,test
Szczerze mówiąc szczerze mam dość kiedy ktoś narusza moje granice i nie mogę tego spokojnie słuchać.,anger,0,train
"Wieczorem mam lęk gdy myślę o przyszłości, a przez to trudno mi oddychać spokojnie. Ta sytuacja nadal we mnie pracuje.",fear,2,train
W tej chwili ostatnio bardzo jestem zniesmaczona na myśl o tym zachowaniu; nie mogę na to patrzeć. Trudno mi to zignorować.,disgust,1,val
"W tej chwili w tej sytuacji szczerze jestem przygnębiony po kłótni z bliską osobą, kiedy mam ochotę zniknąć na chwilę. Wciąż do tego wracam myślami.",sadness,4,train
Szczerze mówiąc szczerze naprawdę jestem spięty przed wynikami badań; ciągle myślę o najgorszym. Nie mogę przestać o tym myśleć.,fear,2,val
"Wieczorem w tej sytuacji niesamowicie czuję radość po miłym telefonie, ponieważ ten moment jest cudowny. Zostało to ze mną na długo.",joy,3,train
"Teraz ja niesamowicie jestem zniesmaczona na widok spleśniałego chleba, ponieważ nie mogę na to patrzeć. Zostało to ze mną na długo.",disgust,1,train
"Szczerze mówiąc ja bardzo mam ciężkie serce po trudnym dniu na uczelni, ponieważ wszystko wydaje się szare.",sadness,4,train
"W domu bardzo jestem przerażony, kiedy nie mam kontroli nad tym, co się dzieje, dlatego serce bije mi szybciej.",fear,2,test
W tej chwili ja naprawdę jestem przygnębiona po trudnym dniu na uczelni; mam ochotę zniknąć na chwilę. Trudno mi to zignorować.,sadness,4,test
Wieczorem szczerze mam silny niesmak kiedy czuję ten zapach i mam ciarki na plecach.,disgust,1,train
"W tej chwili bardzo czuję pustkę, po trudnym dniu na uczelni, dlatego chciałbym tylko odpocząć.",sadness,4,train
"W domu w tej sytuacji naprawdę jestem zachwycona po otrzymaniu stypendium, gdy wszystko wydaje się prostsze. Nie mogę przestać o tym myśleć.",joy,3,train
Od rana bardzo to było nieoczekiwane gdy zobaczyłam prezent. Tego się nie spodziewałem.,surprise,5,train
"Dziś dziś autentycznie to było nieoczekiwane po tej propozycji, bo wciąż próbuję to zrozumieć. Wciąż do tego wracam myślami.",surprise,5,test
Wieczorem dziś jestem zirytowany po niesprawiedliwej ocenie; to jest po prostu nie do przyjęcia.,anger,0,test
"W domu dziś bardzo uśmiecham się po spotkaniu z rodziną, bo ten moment jest cudowny. Nie mogę przestać o tym myśleć.",joy,3,train
"W domu naprawdę jestem zniesmaczona, gdy widzę robaki w piwnicy, dlatego muszę odwrócić wzrok.",disgust,1,train
